application_id_enhancement_5_2_or_revision,application_date,name_of_developers,gna_st_ii_application_id,lta_application_id,voltage_level_kv,substation,state,region,nature_of_applicant,application_quantum_mw,cmets_gna_approved,cmets_gna_meeting_date,battery_injection_mw,installed_breakup_solar_mw,installed_breakup_wind_mw,type,date_for_additional_capacity,status_of_application,granted_quantum_mw,gna_operationalization_date,gna_operationalization_yes_no,installed_breakup_hybrid_mw,_partial_row,applied_start_date,ats_element_unique_code,dtl_element_unique_code,cts_element_unique_code,mode_criteria,_explicit_type_breakup,_capacity_headline_total
,28-01-2025,Hexa Climate Solutions Private Limited,2200001700,,220.0,Bhadla-V,Rajasthan,NR,"Generating station, including REGS, with ESS",300.0,38.0,28.05.2025,50.0,300.0,,Solar+BESS,,Granted,300.0,30.09.2031,No,,,30.11.2029,,"EL-F29A2, EL-9BFCD","EL-654AA, EL-A9814, EL-3CFCF, EL-2D90B, EL-5523F, EL-75882, EL-0BF7F, EL-65D44, EL-B4A45",Land BG Route,True,300.0
,28-01-2025,Hexa Climate Solutions Private Limited,2200001702,,400.0,Merta-III,Rajasthan,NR,Standalone ESS,300.0,38.0,28.05.2025,300.0,,,BESS,,Applied,300.0,,,,,30.11.2029,,,,Land BG Route,True,
,30-01-2025,JIRE Green Energy Project Three Limited,2200001717,,220.0,Ramgarh-II,Rajasthan,NR,"Generating station, including REGS, with ESS",200.0,38.0,28.05.2025,100.0,200.0,,Solar+BESS,,Granted,200.0,31.10.2030,No,,,31.12.2028,,"EL-12A1E, EL-28506, EL-D4A9F","EL-8D0F7, EL-02E09, EL-6ACC9, EL-30AD5, EL-FA27C, EL-C5217, EL-6EB09, EL-4B103, EL-C8D83",Land BG Route,True,200.0
,31-01-2025,Tata Power Renewable Energy Limited,2200001721,,220.0,Bikaner-VI,Rajasthan,NR,"Generating station, including REGS, without ESS",300.0,38.0,28.05.2025,,300.0,,Solar,,Granted,300.0,31.12.2031,No,,,31.03.2027,,"EL-BD5C2, EL-5264E","EL-2D2F2, EL-F66C7, EL-70C46, EL-8D787, EL-799E2, EL-C5217, EL-11BA3, EL-0BF7F, EL-4B103, EL-0A96D",Land BG Route,True,300.0
,31-01-2025,Tata Power Renewable Energy Limited,2200001722,,,Fatehgarh-II,Rajasthan,NR,"Generating station, including REGS, without ESS",300.0,38.0,28.05.2025,,300.0,,Solar,,Withdrawn,0.0,,,,,31.03.2027,,,,Land BG Route,True,300.0
,04-02-2025,Waaree Forever Energies Private Limited,2200001735,,400.0,Ramgarh-II,Rajasthan,NR,"Generating station, including REGS, without ESS",600.0,38.0,28.05.2025,,300.0,300.0,Hybrid,,Granted,600.0,31.10.2030,No,,,31-07-2030,,"EL-89B68, EL-177EE","EL-8D0F7, EL-02E09, EL-6ACC9, EL-30AD5, EL-FA27C, EL-C5217, EL-6EB09, EL-4B103, EL-C8D83",Land BG Route,True,300.0
,10-02-2025,Solarcraft Power India 4 Private Limited,2200001749,,220.0,Bhadla-III,Rajasthan,NR,"Generating station, including REGS, without ESS",50.0,38.0,28.05.2025,,50.0,,Solar,,Granted,50.0,20.07.2029,No,,,01-09-2028,,EL-17567,EL-4D705,Land Route,True,50.0
,13-02-2025,Green Infra Renewable Energy Farms Private Limited,2200001762,,220.0,Sanchore-I,Rajasthan,NR,"Generating station, including REGS, without ESS",300.0,38.0,28.05.2025,,300.0,,Solar,,Granted,300.0,,,,,15-12-2028,,,"EL-34603, EL-7128D, EL-3F657, EL-A4C4E, EL-B2193, EL-C5217, EL-6EB09, EL-4B103, EL-EAAE1",Land BG Route,True,300.0
,14-02-2025,BN Peak Power-3 Private Limited,2200001769,,220.0,Ramgarh-III,Rajasthan,NR,"Generating station, including REGS, with ESS",350.0,38.0,28.05.2025,100.0,150.0,200.0,Hybrid+BESS,,Granted,350.0,31.12.2031,No,,,30-06-2028,,"EL-0CB10, EL-31BA6","EL-34603, EL-7128D, EL-3F657, EL-A4C4E, EL-B2193, EL-C5217, EL-6EB09, EL-4B103, EL-EAAE1",Land BG Route,True,150.0
,14-02-2025,Green Infra Renewable Energy Farms Private Limited,2200001771,,,Sanchore-I,Rajasthan,NR,"Generating station, including REGS, without ESS",300.0,38.0,28.05.2025,,300.0,,Solar,,Applied,,,,,,15-12-2028,,,,Land BG Route,True,300.0
