sl_no,state,region,pooling_ss,additional_information_of_pooling_ss,timelines,re_potential_mw,bess_mw,ss_evacuation_capacity_mw,expected_cod_of_pooling_station,connectivity_granted_1_200kv_mw,connectivity_granted_1_400kv_mw,connectivity_granted_1_total_mw,connectivity_granted_2_200kv_mw,connectivity_granted_2_400kv_mw,connectivity_granted_2_total_mw,margin_for_connectivity_200kv_mw,margin_for_connectivity_400kv_mw,margin_for_connectivity_total_mw,additional_margin_200kv_mw,additional_margin_400kv_mw,additional_margin_total_mw,effectiveness_of_gna,remarks
45c,Telangana,SR,Rangareddy,,Beyond Dec-25,1500.0,0.0,1500.0,,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,1500.0,3000.0,,3000.0,"Locations for RE potential declared in Telanagana under review by 
MNRE/SECI. Transmisison system put on-hold by NCT till finalization of same.",
46,Tamil Nadu,SR,Avairakulam,"Off 
shore",Beyond Dec-25,500.0,0.0,500.0,Dec'30,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,4500.0,0.0,4500.0,Mar'2030,
47,Karnataka,SR,Pavagada,"expansion 
with ICTs",Beyond Dec-25,0.0,0.0,0.0,May'26,1150.0,0.0,1150.0,1400.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,"8th, 9th & 10th ICTs : May'26
Under process applications may not be accommodated.",
48,Andhra Pradesh,SR,Ananthapuram PS-III,,Beyond Dec-25,7500.0,0.0,7500.0,Sep'28,3630.0,0.0,3630.0,1360.0,0.0,1360.0,2510.0,0.0,2510.0,0.0,0.0,0.0,Ph-I (4.5 GW) Sep'28,
49,Andhra Pradesh,SR,Kurnool-V,,Beyond Dec-25,7500.0,0.0,7500.0,Sep'28,1330.0,0.0,1330.0,570.0,0.0,570.0,5600.0,0.0,5600.0,0.0,0.0,0.0,Ph-I (4.5 GW) Sep'28,
50,Andhra Pradesh,SR,Kadapa-II,,Beyond Dec-25,7500.0,0.0,7500.0,Dec'28,600.0,0.0,600.0,0.0,0.0,0.0,1400.0,2500.0,3900.0,2000.0,1000.0,3000.0,Dec'28,
51,Gujarat,WR,Bhuj complex,,Existing,5500.0,,5500.0,Existing,5559.0,0.0,5559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Existing Tr. System,
51a,Gujarat,WR,Bhuj PS,,Existing,3500.0,,3500.0,Existing,3500.0,,3500.0,0.0,,0.0,0.0,0.0,0.0,,,,Existing Tr. System.,
51b,Gujarat,WR,Bhuj-II PS,,Existing,2000.0,,2000.0,Existing,2059.0,,2059.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Existing Tr. System.,
52,Gujarat,WR,Radhanesda PS,,Existing,700.0,,700.0,Existing,1250.0,,1250.0,0.0,,0.0,0.0,0.0,0.0,,,,Existing Tr. System.,
