page,source_table_id,raw_data,region,state,district,complex,s_s,location_village_tehsil,solar,wind,hybrid,others_ctuil,re_potential_gw,installed_capacity,uc_granted_capacity,transmission_scheme,complex_2,remarks
43,44,"['13.', 'Transmission system for evacuation of power from \nREZ in Rajasthan (20 GW) under Phase-III: Part E3', 'Fatehgarh-III  S/s  :  STATCOM  :  ±2x300  MVAr,  4x125  MVAr \nMSC, 2x125 MVAr MSR']",,,,,,,,,,,,,,,,
43,44,"['15.', 'Transmission system for evacuation of power from \nREZ in Rajasthan (20 GW) under Phase-III Part A2', 'Augmentation by 3x500 MVA, 400/220 kV ICT’s at Fatehgarh-\nIV']",,,,,,,,,,,,,,,,
43,44,"['16.', 'Transmission system for evacuation of power from \nREZ in Rajasthan (20 GW) under Phase-III Part B2', 'Augmentation by 7x500 MVA, 400/220 kV ICT’s at Bhadla-III']",,,,,,,,,,,,,,,,
43,44,"['17.', 'Transmission system for evacuation of power from \nREZ in Rajasthan (20 GW) under Phase-III Part C2', 'Augmentation by 1x1500 MVA, 765/400 kV ICT’s at Ramgarh']",,,,,,,,,,,,,,,,
43,44,"['18.', 'Transmission system for evacuation of power from \nREZ in Rajasthan (20 GW) under Phase-III Part E2', 'Augmentation  by  3x1500  MVA,  765/400  kV  &  2x500  MVA, \n400/220 kV ICT’s at Fatehgarh-III (new section)']",,,,,,,,,,,,,,,,
47,50,"['Rajasthan', 'Bikaner-II', '0', '7', '7', '0', '4', '4', '', '2', '2', '0', '1', '1']",,,,,,,,,,,,,,,,
47,50,"['Rajasthan', 'Bikaner-III', '0', '7', '7', '0', '3', '3', '0', '2', '2', '0', '2', '2']",,,,,,,,,,,,,,,,
47,50,"['Rajasthan', 'Fatehgarh-IV', '6', '6', '12', '2', '1', '3', '2', '2', '4', '2', '3', '5']",,,,,,,,,,,,,,,,
47,50,"['Rajasthan', 'Ramgarh', '4', '6', '10', '2', '1', '3', '1', '2', '3', '1', '3', '4']",,,,,,,,,,,,,,,,
47,50,"['Rajasthan', 'Jalore', '0', '3', '3', '', '', '', '', '1', '1', '0', '2', '2']",,,,,,,,,,,,,,,,
47,50,"['Rajasthan', 'Sanchore', '0', '3', '3', '', '', '', '', '1', '1', '0', '2', '2']",,,,,,,,,,,,,,,,
47,50,"['Rajasthan', 'Sirohi', '0', '3', '3', '', '', '', '', '1', '1', '0', '2', '2']",,,,,,,,,,,,,,,,
47,50,"['Rajasthan', 'Pali', '0', '3', '3', '', '', '', '', '0', '0', '0', '3', '3']",,,,,,,,,,,,,,,,
47,50,"['Rajasthan', 'Ajmer', '0', '2', '2', '', '', '', '', '1', '1', '0', '1', '1']",,,,,,,,,,,,,,,,
47,50,"['Rajasthan', 'Nagaur', '0', '2', '2', '', '', '', '', '1', '1', '0', '1', '1']",,,,,,,,,,,,,,,,
47,50,"['Rajasthan', 'Bhadla-IV', '2', '3', '5', '', '', '', '1', '1', '2', '1', '2', '3']",,,,,,,,,,,,,,,,
47,50,"['Rajasthan', 'Barmer-I', '3', '4', '7', '2', '2', '4', '1', '1', '2', '0', '1', '1']",,,,,,,,,,,,,,,,
47,50,"['Rajasthan', 'Barmer-II', '0', '6', '6', '', '', '', '0', '3', '3', '0', '3', '3']",,,,,,,,,,,,,,,,
47,50,"['Rajasthan', 'Jaisalmer/\nJodhpur \n(Intra-State)', '0', '5', '5', '0', '2', '2', '0', '2', '2', '0', '1', '1']",,,,,,,,,,,,,,,,
47,50,"['Andhra \nPradesh', 'Anantapur', '10', '10', '20', '2', '5.5', '7.5', '4', '1', '5', '4', '3.5', '7.5']",,,,,,,,,,,,,,,,
47,50,"['Andhra \nPradesh', 'Kurnool', '8', '15', '23', '2', '2.5', '4.5', '3', '6.5', '9.5', '3', '6', '9']",,,,,,,,,,,,,,,,
47,50,"['Andhra \nPradesh', 'Kadapa', '0', '8', '8', '', '', '0', '', '4', '4', '0', '4', '4']",,,,,,,,,,,,,,,,
47,50,"['Telangana', 'Nizamabad \nII', '1', '2.5', '3.5', '1', '1', '2', '', '1.5', '1.5', '0', '0', '0']",,,,,,,,,,,,,,,,
47,50,"['Telangana', 'Rangareddy', '1', '2.5', '3.5', '1', '0.5', '1.5', '', '2', '2', '0', '', '0']",,,,,,,,,,,,,,,,
47,50,"['Telangana', 'Medak', '1', '2.5', '3.5', '1', '0.5', '1.5', '', '2', '2', '0', '0', '0']",,,,,,,,,,,,,,,,
47,50,"['Telangana', 'Karimnagar', '0', '2.5', '2.5', '', '', '0', '', '2', '2', '0', '0.5', '0.5']",,,,,,,,,,,,,,,,
48,51,"['Karnataka', 'Koppal II', '2', '2', '4', '2', '2', '4', '', '', '0', '0', '0', '0']",,,,,,,,,,,,,,,,
48,51,"['Karnataka', 'Gadag II', '2', '2', '4', '2', '2', '4', '', '', '0', '0', '0', '0']",,,,,,,,,,,,,,,,
48,51,"['Karnataka', 'Devanagere/\nChitragurga', '2', '2', '4', '2', '2', '4', '', '', '0', '0', '0', '0']",,,,,,,,,,,,,,,,
48,51,"['Karnataka', 'Bijapur', '2', '0', '2', '1', '', '1', '1', '', '1', '0', '0', '0']",,,,,,,,,,,,,,,,
48,51,"['Karnataka', 'Bellary', '0', '1.5', '1.5', '', '', '0', '', '1.5', '1.5', '0', '0', '0']",,,,,,,,,,,,,,,,
48,51,"['Karnataka', 'Tumkur', '0', '1.5', '1.5', '', '', '0', '', '1.5', '1.5', '0', '0', '0']",,,,,,,,,,,,,,,,
48,51,"['Tamil Nadu', 'off shore', '5', '', '5', '', '', '0', '2', '', '2', '3', '0', '3']",,,,,,,,,,,,,,,,
59,59,"['Kurnool-IV', '4', '7.5', '11.5', '3', '2', '2.5', '4.5', '0']",,,,,,,,,,,,,,,,
59,59,"['Kurnool-V', '4', '7.5', '11.5', '3', '0', '0', '0', '0']",,,,,,,,,,,,,,,,
59,59,"['Anantapur', '2', '2', '4', '1', '2', '1.5', '3.5', '0']",,,,,,,,,,,,,,,,
59,59,"['Anantapur-II', '8', '8', '16', '4', '0', '4', '4', '0']",,,,,,,,,,,,,,,,
60,60,"['Kurnool-IV', '4', '7.5', '11.5', '3', '2', '2', '4', '3']",,,,,,,,,,,,,,,,
60,60,"['Kurnool-V', '4', '7.5', '11.5', '3', '1', '4.5', '5.5', '0']",,,,,,,,,,,,,,,,
60,60,"['Anantapur', '2', '2', '4', '1', '0', '0', '0', '0']",,,,,,,,,,,,,,,,
60,60,"['Anantapur-II', '8', '8', '16', '4', '4', '1', '5', '2']",,,,,,,,,,,,,,,,
60,61,"['Kurnool-IV', '4', '7.5', '11.5', '3', '0', '0', '0', '0']",,,,,,,,,,,,,,,,
60,61,"['Kurnool-V', '4', '7.5', '11.5', '3', '3', '6', '9', '3']",,,,,,,,,,,,,,,,
60,61,"['Anantapur', '2', '2', '4', '1', '0', '0', '0', '0']",,,,,,,,,,,,,,,,
60,61,"['Anantapur-II', '8', '8', '16', '4', '4', '3.5', '7.5', '3']",,,,,,,,,,,,,,,,
10,83,"['Kurnool', '', '5.5', 'Osmanabad/Kallam', '', '1']",,,,,,,,,,,,,,,,
10,83,"['Anantapur', '', '2.5', 'Intra State', '', '1']",,,,,,,,,,,,,,,,
14,90,"['Rajasthan', 'Sanchore, Sirohi, Jalor, Pali, Ajmer, Bikaner, Nagaur', '', '30']",,,,,,,,,,,,,,,,
14,90,"['Andhra Pradesh', 'Anantapur', '10', '10']",,,,,,,,,,,,,,,,
14,90,"['', 'Kurnool', '8', '8']",,,,,,,,,,,,,,,,
14,90,"['', 'Kurnool', '', '7']",,,,,,,,,,,,,,,,
14,90,"['Karnataka', 'Koppal', '2', '2']",,,,,,,,,,,,,,,,
14,90,"['Tamil Nadu (5 GW)', 'off-shore', '5', '']",,,,,,,,,,,,,,,,
14,90,"['Telangana', 'Rangareddy', '1', '2.5']",,,,,,,,,,,,,,,,
15,92,"['•', 'MNRE/SECI has identified 75 GW potential REZs in Northern Region in the state of Rajasthan, comprising of 15 GW Wind']",,,,,,,,,,,,,,,,
16,94,"['Sub Total (Rajasthan)', '15\n60', '67.5', '22.5', '45']",,,,,,,,,,,,,,,,
26,110,"['Anantapur', 'Anantapur,', '10', '10', '15', '5', '10']",,,,,,,,,,,,,,,,
26,110,"['Kurnool', 'Kurnool-IV,', '8', '15', '18', '6', '12']",,,,,,,,,,,,,,,,
26,110,"['Sub Total (Andhra Pradesh)', '', '18', '33', '41', '14', '27']",,,,,,,,,,,,,,,,
26,110,"['Sub Total (Karnataka)', '', '8', '9', '14', '3', '11']",,,,,,,,,,,,,,,,
26,110,"['Sub Total (Telangana)', '', '3', '10', '11.5', '3', '8.5']",,,,,,,,,,,,,,,,
27,111,"['Kurnool', 'Kurnool-IV,', '8', '15', '18', '6', '12']",,,,,,,,,,,,,,,,
27,111,"['Anantapur', 'Anantapur,', '10', '10', '15', '5', '10']",,,,,,,,,,,,,,,,
27,111,"['Sub Total (Andhra Pradesh)', '', '18', '33', '41', '14', '27']",,,,,,,,,,,,,,,,
27,112,"['Sub Total (Andhra Pradesh)', '18\n33\n41\n14\n27']",,,,,,,,,,,,,,,,
27,112,"['i)', 'Transmission System for integration of Kurnool REZ-I (7.5 GW Solar, 4 GW Wind, 3 GW BESS)']",,,,,,,,,,,,,,,,
27,112,"['', '• \nEstablishment of 5x1500 MVA, 765/400 & 7x500 MVA, 400/220 kV Kurnool-IV Pooling Station near Kurnool, Andhra Pradesh']",,,,,,,,,,,,,,,,
27,112,"['', 'along with 2x330 MVAr (765 kV) & 2x125 MVAr (400 kV) bus reactors at Kurnool-IV PS (3 GW injection at 220 kV level and']",,,,,,,,,,,,,,,,
27,112,"['', '• \nKurnool-IV – Kurnool-III PS 765 kV D/c line (~100 km)']",,,,,,,,,,,,,,,,
27,112,"['', '• \nKurnool-IV – Bidar PS 765 kV D/c line with 240 MVAr SLR at both ends (~280 km)']",,,,,,,,,,,,,,,,
27,112,"['ii)', 'Transmission System for integration of Kurnool REZ-II (7.5 GW Solar, 4 GW Wind, 3 GW BESS)']",,,,,,,,,,,,,,,,
27,112,"['', '• \nEstablishment  of  5x1500  MVA,  765/400  kV  &  7x500  MVA,  400/220  kV  Kurnool-V  Pooling  Station  near  Kurnool,']",,,,,,,,,,,,,,,,
27,112,"['', 'Andhra  Pradesh  along  with  2x330  MVAr  (765  kV)  &  2x125  MVAr  (400  kV)  bus  reactors  at  Kurnool-V  PS  (3  GW']",,,,,,,,,,,,,,,,
27,112,"['', '• \nKurnool-V – Chilakaluripeta 765 kV D/c line with 330 MVAr SLR at Kurnool-V PS end (~210 km)']",,,,,,,,,,,,,,,,
27,112,"['', '• \nKurnool-V – Kurnool-IV 765 kV D/c line (~100 km)']",,,,,,,,,,,,,,,,
27,112,"['iii)', 'Transmission System for integration of Anantapur REZ (8 GW Solar, 8 GW Wind, 4 GW BESS)']",,,,,,,,,,,,,,,,
27,112,"['', '• \nEstablishment of 6x1500 MVA, 765/400 kV & 9x500 MVA, 400/220 kV Anantapur-II Pooling Station near Kurnool,']",,,,,,,,,,,,,,,,
27,112,"['', 'Andhra Pradesh along with 2x330 MVAr (765 kV) & 2x125 MVAr (400 kV) bus reactors at Anantapur-II PS (4 GW']",,,,,,,,,,,,,,,,
27,112,"['', '• \nAnantapur-II – Cuddapah 765 kV D/c line with 240 MVAr SLR at Anantapur-II PS (~250 km)']",,,,,,,,,,,,,,,,
27,112,"['', '• \nAnantapur-II – Kurnool-V PS 765 kV D/c line (~100 km)']",,,,,,,,,,,,,,,,
28,113,"['iv)', 'Transmission System for integration of Anantapur REZ (2 GW Solar, 2 GW Wind, 1 GW BESS integrated with already planned']",,,,,,,,,,,,,,,,
28,113,"['', '• \nAugmentation by 3x500 MVA, 400/220 kV ICTs at Anantapur PS (Additional 1 GW injection at 220 kV level and 1 GW injection']",,,,,,,,,,,,,,,,
